C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_280.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_280.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_280.jpg,0,0,0,4.47143E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_374.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_374.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_374.jpg,0,0,0,3.742121E-07
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_442.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_442.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_442.jpg,0,0,0,1.044591E-05
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_522.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_522.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_522.jpg,0,0,0,1.423664E-05
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_603.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_603.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_603.jpg,0,0,0,8.693204E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_678.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_678.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_678.jpg,0,0,0,7.398156E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_758.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_758.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_758.jpg,0,0,0,5.659625E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_840.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_840.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_840.jpg,0,0,0,7.819272E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_32_920.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_32_920.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_32_920.jpg,0,0,0,2.733706E-05
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_33_000.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_33_000.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_33_000.jpg,0,0,0,6.429506E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_33_084.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_33_084.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_33_084.jpg,0,0,0,9.014558E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_33_162.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_33_162.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_33_162.jpg,0,0,0,5.10264E-06
C:\Users\ishantbansal\Desktop\IMG\center_2018_01_02_17_09_33_243.jpg,C:\Users\ishantbansal\Desktop\IMG\left_2018_01_02_17_09_33_243.jpg,C:\Users\ishantbansal\Desktop\IMG\right_2018_01_02_17_09_33_243.jpg,0,0,0,1.277414E-05
